DATE,OBMMIFHA30YF
2017-10-23,4.244
2017-10-24,4.256
2017-10-25,4.298
2017-10-26,4.288
2017-10-27,4.281
2017-10-30,4.215
2017-10-31,4.247
2017-11-01,4.237
2017-11-02,4.227
2017-11-03,4.22
2017-11-06,4.223
2017-11-07,4.215
2017-11-08,4.236
2017-11-09,4.251
2017-11-10,.
2017-11-13,4.281
2017-11-14,4.296
2017-11-15,4.236
2017-11-16,4.251
2017-11-17,4.27
2017-11-20,4.29
2017-11-21,4.31
2017-11-22,4.294
2017-11-23,.
2017-11-24,4.131
2017-11-27,4.255
2017-11-28,4.244
2017-11-29,4.287
2017-11-30,4.29
2017-12-01,4.289
2017-12-04,4.27
2017-12-05,4.257
2017-12-06,4.263
2017-12-07,4.236
2017-12-08,4.272
2017-12-11,4.3
2017-12-12,4.332
2017-12-13,4.32
2017-12-14,4.302
2017-12-15,4.287
2017-12-18,4.286
2017-12-19,4.324
2017-12-20,4.35
2017-12-21,4.362
2017-12-22,4.339
2017-12-25,.
2017-12-26,4.384
2017-12-27,4.269
2017-12-28,4.279
2017-12-29,4.288
2018-01-01,.
2018-01-02,4.283
2018-01-03,4.295
2018-01-04,4.279
2018-01-05,4.327
2018-01-08,4.332
2018-01-09,4.354
2018-01-10,4.425
2018-01-11,4.364
2018-01-12,4.379
2018-01-15,.
2018-01-16,4.334
2018-01-17,4.408
2018-01-18,4.421
2018-01-19,4.428
2018-01-22,4.483
2018-01-23,4.448
2018-01-24,4.468
2018-01-25,4.48
2018-01-26,4.466
2018-01-29,4.491
2018-01-30,4.516
2018-01-31,4.556
2018-02-01,4.549
2018-02-02,4.626
2018-02-05,4.635
2018-02-06,4.619
2018-02-07,4.661
2018-02-08,4.718
2018-02-09,4.712
2018-02-12,4.72
2018-02-13,4.759
2018-02-14,4.749
2018-02-15,4.794
2018-02-16,4.75
2018-02-19,.
2018-02-20,4.753
2018-02-21,4.792
2018-02-22,4.821
2018-02-23,4.796
2018-02-26,4.785
2018-02-27,4.855
2018-02-28,4.837
2018-03-01,4.796
2018-03-02,4.812
2018-03-05,4.82
2018-03-06,4.87
2018-03-07,4.86
2018-03-08,4.859
2018-03-09,4.853
2018-03-12,4.838
2018-03-13,4.835
2018-03-14,4.825
2018-03-15,4.845
2018-03-16,4.85
2018-03-19,4.88
2018-03-20,4.893
2018-03-21,4.885
2018-03-22,4.858
2018-03-23,4.882
2018-03-26,4.891
2018-03-27,4.893
2018-03-28,4.851
2018-03-29,4.834
2018-03-30,4.788
2018-04-02,4.864
2018-04-03,4.856
2018-04-04,4.861
2018-04-05,4.859
2018-04-06,4.793
2018-04-09,4.835
2018-04-10,4.813
2018-04-11,4.825
2018-04-12,4.85
2018-04-13,4.83
2018-04-16,4.847
2018-04-17,4.83
2018-04-18,4.843
2018-04-19,4.88
2018-04-20,4.885
2018-04-23,4.935
2018-04-24,4.95
2018-04-25,4.972
2018-04-26,4.964
2018-04-27,4.964
2018-04-30,4.959
2018-05-01,4.965
2018-05-02,4.96
2018-05-03,4.967
2018-05-04,4.92
2018-05-07,4.947
2018-05-08,4.935
2018-05-09,4.976
2018-05-10,4.965
2018-05-11,4.98
2018-05-14,4.972
2018-05-15,5.037
2018-05-16,5.049
2018-05-17,5.075
2018-05-18,5.056
2018-05-21,5.047
2018-05-22,5.067
2018-05-23,5.002
2018-05-24,4.981
2018-05-25,4.954
2018-05-28,.
2018-05-29,4.907
2018-05-30,4.91
2018-05-31,4.922
2018-06-01,4.958
2018-06-04,4.959
2018-06-05,4.979
2018-06-06,4.993
2018-06-07,5.008
2018-06-08,4.978
2018-06-11,5.011
2018-06-12,5.016
2018-06-13,4.995
2018-06-14,5.001
2018-06-15,4.975
2018-06-18,4.984
2018-06-19,4.978
2018-06-20,4.982
2018-06-21,5.002
2018-06-22,4.994
2018-06-25,4.993
2018-06-26,4.956
2018-06-27,4.948
2018-06-28,4.989
2018-06-29,4.96
2018-07-02,4.969
2018-07-03,4.964
2018-07-04,.
2018-07-05,4.972
2018-07-06,4.976
2018-07-09,4.953
2018-07-10,4.977
2018-07-11,4.969
2018-07-12,4.97
2018-07-13,4.949
2018-07-16,4.954
2018-07-17,4.951
2018-07-18,4.948
2018-07-19,4.925
2018-07-20,4.957
2018-07-23,4.991
2018-07-24,4.986
2018-07-25,4.988
2018-07-26,4.98
2018-07-27,5.019
2018-07-30,4.979
2018-07-31,4.989
2018-08-01,5.01
2018-08-02,5.014
2018-08-03,5.007
2018-08-06,4.98
2018-08-07,5.005
2018-08-08,5.02
2018-08-09,4.96
2018-08-10,4.972
2018-08-13,4.982
2018-08-14,4.96
2018-08-15,4.972
2018-08-16,4.989
2018-08-17,4.943
2018-08-20,4.968
2018-08-21,4.969
2018-08-22,4.986
2018-08-23,4.959
2018-08-24,4.987
2018-08-27,4.959
2018-08-28,4.971
2018-08-29,4.957
2018-08-30,4.983
2018-08-31,4.993
2018-09-03,.
2018-09-04,5.005
2018-09-05,5.007
2018-09-06,5.008
2018-09-07,5.012
2018-09-10,5.001
2018-09-11,5.006
2018-09-12,5.037
2018-09-13,5.011
2018-09-14,5.04
2018-09-17,5.054
2018-09-18,5.083
2018-09-19,5.119
2018-09-20,5.133
2018-09-21,5.114
2018-09-24,5.124
2018-09-25,5.112
2018-09-26,5.132
2018-09-27,5.101
2018-09-28,5.086
2018-10-01,5.118
2018-10-02,5.09
2018-10-03,5.133
2018-10-04,5.219
2018-10-05,5.235
2018-10-08,.
2018-10-09,5.257
2018-10-10,5.244
2018-10-11,5.226
2018-10-12,5.237
2018-10-15,5.22
2018-10-16,5.232
2018-10-17,5.217
2018-10-18,5.267
2018-10-19,5.266
2018-10-22,5.288
2018-10-23,5.267
2018-10-24,5.261
2018-10-25,5.283
2018-10-26,5.248
2018-10-29,5.248
2018-10-30,5.283
2018-10-31,5.272
2018-11-01,5.289
2018-11-02,5.32
2018-11-05,5.33
2018-11-06,5.322
2018-11-07,5.304
2018-11-08,5.319
2018-11-09,5.338
2018-11-12,.
2018-11-13,5.313
2018-11-14,5.306
2018-11-15,5.26
2018-11-16,5.266
2018-11-19,5.26
2018-11-20,5.261
2018-11-21,5.255
2018-11-22,.
2018-11-23,5.221
2018-11-26,5.271
2018-11-27,5.257
2018-11-28,5.279
2018-11-29,5.22
2018-11-30,5.21
2018-12-03,5.21
2018-12-04,5.164
2018-12-05,5.173
2018-12-06,5.166
2018-12-07,5.179
2018-12-10,5.111
2018-12-11,5.123
2018-12-12,5.105
2018-12-13,5.154
2018-12-14,5.139
2018-12-17,5.151
2018-12-18,5.098
2018-12-19,5.064
2018-12-20,5.072
2018-12-21,5.082
2018-12-24,4.962
2018-12-25,.
2018-12-26,5.048
2018-12-27,5.056
2018-12-28,5.045
2018-12-31,4.99
2019-01-01,.
2019-01-02,4.955
2019-01-03,4.967
2019-01-04,4.931
2019-01-07,4.919
2019-01-08,4.927
2019-01-09,4.975
2019-01-10,4.916
2019-01-11,4.93
2019-01-14,4.908
2019-01-15,4.911
2019-01-16,4.932
2019-01-17,4.948
2019-01-18,4.945
2019-01-21,.
2019-01-22,4.934
2019-01-23,4.988
2019-01-24,4.97
2019-01-25,4.943
2019-01-28,4.939
2019-01-29,4.91
2019-01-30,4.9
2019-01-31,4.817
2019-02-01,4.893
2019-02-04,4.899
2019-02-05,4.873
2019-02-06,4.891
2019-02-07,4.87
2019-02-08,4.859
2019-02-11,4.835
2019-02-12,4.887
2019-02-13,4.85
2019-02-14,4.872
2019-02-15,4.894
2019-02-18,.
2019-02-19,4.829
2019-02-20,4.844
2019-02-21,4.847
2019-02-22,4.825
2019-02-25,4.809
2019-02-26,4.817
2019-02-27,4.775
2019-02-28,4.855
2019-03-01,4.856
2019-03-04,4.888
2019-03-05,4.885
2019-03-06,4.846
2019-03-07,4.832
2019-03-08,4.813
2019-03-11,4.821
2019-03-12,4.791
2019-03-13,4.76
2019-03-14,4.795
2019-03-15,4.82
2019-03-18,4.78
2019-03-19,4.766
2019-03-20,4.797
2019-03-21,4.709
2019-03-22,4.638
2019-03-25,4.588
2019-03-26,4.6
2019-03-27,4.537
2019-03-28,4.554
2019-03-29,4.55
2019-04-01,4.585
2019-04-02,4.632
2019-04-03,4.639
2019-04-04,4.627
2019-04-05,4.659
2019-04-08,4.598
2019-04-09,4.635
2019-04-10,4.63
2019-04-11,4.595
2019-04-12,4.601
2019-04-15,4.655
2019-04-16,4.664
2019-04-17,4.649
2019-04-18,4.68
2019-04-19,4.617
2019-04-22,4.683
2019-04-23,4.689
2019-04-24,4.65
2019-04-25,4.654
2019-04-26,4.605
2019-04-29,4.645
2019-04-30,4.641
2019-05-01,4.631
2019-05-02,4.649
2019-05-03,4.642
2019-05-06,4.585
2019-05-07,4.598
2019-05-08,4.598
2019-05-09,4.591
2019-05-10,4.593
2019-05-13,4.586
2019-05-14,4.55
2019-05-15,4.523
2019-05-16,4.532
2019-05-17,4.556
2019-05-20,4.581
2019-05-21,4.598
2019-05-22,4.58
2019-05-23,4.516
2019-05-24,4.506
2019-05-27,.
2019-05-28,4.51
2019-05-29,4.474
2019-05-30,4.493
2019-05-31,4.39
2019-06-03,4.339
2019-06-04,4.311
2019-06-05,4.329
2019-06-06,4.34
2019-06-07,4.304
2019-06-10,4.322
2019-06-11,4.357
2019-06-12,4.332
2019-06-13,4.385
2019-06-14,4.326
2019-06-17,4.335
2019-06-18,4.269
2019-06-19,4.299
2019-06-20,4.143
2019-06-21,4.21
2019-06-24,4.183
2019-06-25,4.152
2019-06-26,4.171
2019-06-27,4.159
2019-06-28,4.112
2019-07-01,4.193
2019-07-02,4.168
2019-07-03,4.127
2019-07-04,.
2019-07-05,4.136
2019-07-08,4.152
2019-07-09,4.199
2019-07-10,4.196
2019-07-11,4.197
2019-07-12,4.23
2019-07-15,4.246
2019-07-16,4.282
2019-07-17,4.205
2019-07-18,4.173
2019-07-19,4.125
2019-07-22,4.121
2019-07-23,4.114
2019-07-24,4.13
2019-07-25,4.136
2019-07-26,4.159
2019-07-29,4.147
2019-07-30,4.141
2019-07-31,4.126
2019-08-01,4.046
2019-08-02,3.987
2019-08-05,3.98
2019-08-06,3.972
2019-08-07,3.953
2019-08-08,4.036
2019-08-09,3.978
2019-08-12,3.978
2019-08-13,3.998
2019-08-14,4.01
2019-08-15,3.995
2019-08-16,3.975
2019-08-19,3.98
2019-08-20,3.977
2019-08-21,3.984
2019-08-22,3.991
2019-08-23,3.989
2019-08-26,3.976
2019-08-27,3.994
2019-08-28,3.96
2019-08-29,3.908
2019-08-30,3.891
2019-09-02,.
2019-09-03,3.876
2019-09-04,3.852
2019-09-05,3.887
2019-09-06,3.857
2019-09-09,3.939
2019-09-10,3.985
2019-09-11,4.026
2019-09-12,4.016
2019-09-13,4.074
2019-09-16,4.116
2019-09-17,4.102
2019-09-18,4.056
2019-09-19,4.01
2019-09-20,4.053
2019-09-23,3.97
2019-09-24,4.02
2019-09-25,3.993
2019-09-26,4.032
2019-09-27,4.025
2019-09-30,3.947
2019-10-01,3.932
2019-10-02,3.914
2019-10-03,3.884
2019-10-04,3.839
2019-10-07,3.863
2019-10-08,3.822
2019-10-09,3.851
2019-10-10,3.908
2019-10-11,4.005
2019-10-14,.
2019-10-15,3.984
2019-10-16,3.974
2019-10-17,3.976
2019-10-18,4.001
2019-10-21,4.009
2019-10-22,4.062
2019-10-23,4.039
2019-10-24,4.013
2019-10-25,3.999
2019-10-28,4.038
2019-10-29,4.019
2019-10-30,4.003
2019-10-31,3.883
2019-11-01,3.871
2019-11-04,3.93
2019-11-05,3.941
2019-11-06,3.947
2019-11-07,4.023
2019-11-08,4.05
2019-11-11,.
2019-11-12,4.049
2019-11-13,4.0
2019-11-14,3.965
2019-11-15,3.966
2019-11-18,3.9
2019-11-19,3.933
2019-11-20,3.902
2019-11-21,3.908
2019-11-22,3.915
2019-11-25,3.922
2019-11-26,3.859
2019-11-27,3.915
2019-11-28,.
2019-11-29,3.928
2019-12-02,3.943
2019-12-03,3.862
2019-12-04,3.876
2019-12-05,3.938
2019-12-06,3.994
2019-12-09,3.914
2019-12-10,3.954
2019-12-11,3.942
2019-12-12,3.97
2019-12-13,3.955
2019-12-16,3.939
2019-12-17,3.959
2019-12-18,3.978
2019-12-19,3.999
2019-12-20,3.968
2019-12-23,3.992
2019-12-24,3.941
2019-12-25,.
2019-12-26,3.998
2019-12-27,3.939
2019-12-30,3.935
2019-12-31,3.872
2020-01-01,.
2020-01-02,3.893
2020-01-03,3.863
2020-01-06,3.854
2020-01-07,3.868
2020-01-08,3.874
2020-01-09,3.931
2020-01-10,3.869
2020-01-13,3.881
2020-01-14,3.912
2020-01-15,3.901
2020-01-16,3.887
2020-01-17,3.956
2020-01-20,.
2020-01-21,3.909
2020-01-22,3.927
2020-01-23,3.903
2020-01-24,3.884
2020-01-27,3.861
2020-01-28,3.877
2020-01-29,3.857
2020-01-30,3.869
2020-01-31,3.834
2020-02-03,3.841
2020-02-04,3.861
2020-02-05,3.906
2020-02-06,3.908
2020-02-07,3.904
2020-02-10,3.872
2020-02-11,3.873
2020-02-12,3.904
2020-02-13,3.891
2020-02-14,3.868
2020-02-17,.
2020-02-18,3.877
2020-02-19,3.934
2020-02-20,3.879
2020-02-21,3.882
2020-02-24,3.83
2020-02-25,3.837
2020-02-26,3.799
2020-02-27,3.764
2020-02-28,3.687
2020-03-02,3.494
2020-03-03,3.515
2020-03-04,3.422
2020-03-05,3.516
2020-03-06,3.516
2020-03-09,3.42
2020-03-10,3.635
2020-03-11,3.804
2020-03-12,3.988
2020-03-13,4.06
2020-03-16,3.616
2020-03-17,3.555
2020-03-18,3.797
2020-03-19,4.111
2020-03-20,4.04
2020-03-23,3.507
2020-03-24,3.546
2020-03-25,3.523
2020-03-26,3.55
2020-03-27,3.515
2020-03-30,3.472
2020-03-31,3.513
2020-04-01,3.564
2020-04-02,3.532
2020-04-03,3.457
2020-04-06,3.394
2020-04-07,3.364
2020-04-08,3.334
2020-04-09,3.255
2020-04-10,3.24
2020-04-13,3.301
2020-04-14,3.348
