DATE,FEDFUNDS
2017-09-01,1.15
2017-10-01,1.15
2017-11-01,1.16
2017-12-01,1.30
2018-01-01,1.41
2018-02-01,1.42
2018-03-01,1.51
2018-04-01,1.69
2018-05-01,1.70
2018-06-01,1.82
2018-07-01,1.91
2018-08-01,1.91
2018-09-01,1.95
2018-10-01,2.19
2018-11-01,2.20
2018-12-01,2.27
2019-01-01,2.40
2019-02-01,2.40
2019-03-01,2.41
2019-04-01,2.42
2019-05-01,2.39
2019-06-01,2.38
2019-07-01,2.40
2019-08-01,2.13
2019-09-01,2.04
2019-10-01,1.83
2019-11-01,1.55
2019-12-01,1.55
2020-01-01,1.55
2020-02-01,1.58
2020-03-01,0.65
2020-04-01,0.05
2020-05-01,0.05
2020-06-01,0.08
2020-07-01,0.09
2020-08-01,0.10
2020-09-01,0.09
2020-10-01,0.09
2020-11-01,0.09
2020-12-01,0.09
2021-01-01,0.09
2021-02-01,0.08
2021-03-01,0.07
2021-04-01,0.07
2021-05-01,0.06
2021-06-01,0.08
2021-07-01,0.10
2021-08-01,0.09
2021-09-01,0.08
2021-10-01,0.08
2021-11-01,0.08
2021-12-01,0.08
2022-01-01,0.08
2022-02-01,0.08
2022-03-01,0.20
2022-04-01,0.33
2022-05-01,0.77
2022-06-01,1.21
2022-07-01,1.68
2022-08-01,2.33
2022-09-01,2.56
