DATE,CUSR0000SEHA
9/1/2017,310.346
10/1/2017,311.33
11/1/2017,312.295
12/1/2017,313.462
1/1/2018,314.5
2/1/2018,315.142
3/1/2018,315.904
4/1/2018,316.955
5/1/2018,317.803
6/1/2018,318.634
7/1/2018,319.661
8/1/2018,320.777
9/1/2018,321.618
10/1/2018,322.483
11/1/2018,323.62
12/1/2018,324.401
1/1/2019,325.322
2/1/2019,326.231
3/1/2019,327.527
4/1/2019,328.835
5/1/2019,329.61
6/1/2019,330.937
7/1/2019,331.911
8/1/2019,332.782
9/1/2019,333.928
10/1/2019,334.554
11/1/2019,335.478
12/1/2019,336.396
1/1/2020,337.57
2/1/2020,338.498
3/1/2020,339.51
4/1/2020,340.264
5/1/2020,341.067
6/1/2020,341.558
7/1/2020,342.262
8/1/2020,342.63
9/1/2020,343.002
10/1/2020,343.495
11/1/2020,343.708
12/1/2020,344.078
1/1/2021,344.507
2/1/2021,345.121
3/1/2021,345.684
4/1/2021,346.379
5/1/2021,347.253
6/1/2021,348.095
7/1/2021,348.789
8/1/2021,349.938
9/1/2021,351.355
10/1/2021,352.762
11/1/2021,354.191
12/1/2021,355.544
